RA,IAA,IEG,IPS,math,portuguese,lag,year
RA-382,"9,0","7,7","6,3","4,0","6,8",-2,2022
RA-383,"9,0","9,6","7,5","8,0","8,2",0,2022
RA-384,"9,0","8,4","6,3","8,0","8,2",-1,2022
RA-385,"7,4","7,5","5,0","2,7","7,2",-1,2022
RA-386,"10,0","5,9","5,6","3,7","4,3",-1,2022
RA-387,"7,0","8,2","7,5","1,3","6,0",-1,2022
RA-388,"7,9","8,5","5,6","3,5","5,5",-2,2022
RA-389,"8,0","8,9","7,5","2,0","5,0",0,2022
RA-390,"7,4","8,8","6,3","4,0","5,3",-1,2022
RA-391,"10,0","8,1","7,5","5,0","5,2",-1,2022
RA-392,"9,5","8,8","5,6","3,7","5,8",-2,2022
RA-393,"10,0","5,4","5,0","4,7","4,5",-4,2022
RA-394,"9,5","8,6","7,5","4,3","7,5",0,2022
RA-395,"9,0","8,9","7,5","4,2","5,7",0,2022
RA-396,"9,0","8,0","6,3","4,7","6,5",-1,2022
RA-397,"9,0","5,7","6,9","3,3","2,3",-2,2022
RA-398,"9,0","9,3","7,5","3,0","8,0",0,2022
RA-399,"6,8","9,3","5,6","3,0","5,5",-1,2022
RA-400,"9,0","8,5","5,0","1,2","2,2",-2,2022
RA-401,"6,9","9,6","7,5","3,7","5,0",-1,2022
RA-402,"9,0","3,7","5,0","4,3","1,7",-1,2022
RA-403,"9,5","9,3","7,5","6,5","6,2",-1,2022
RA-404,"9,0","7,3","7,5","4,0","6,5",-1,2022
RA-405,"9,5","6,2","5,0","2,7","3,8",-1,2022
RA-406,"9,5","9,5","7,5","5,4","7,8",-1,2022
RA-407,"8,5","9,3","7,5","4,0","8,0",-1,2022
RA-408,"8,0","9,7","7,5","1,0","5,5",-1,2022
RA-409,"7,9","9,7","7,5","6,0","9,5",0,2022
RA-410,"7,4","6,5","6,3","2,0","2,0",-2,2022
RA-411,"6,4","8,6","7,5","6,7","7,5",-1,2022
RA-412,"8,5","9,0","7,5","6,5","8,2",-1,2022
RA-413,"6,4","8,7","5,6","4,2","5,2",-1,2022
RA-414,"8,0","9,3","7,5","5,7","6,2",-1,2022
RA-415,"8,0","8,3","7,5","4,8","7,5",0,2022
RA-416,"9,5","9,3","8,8","6,7","7,7",-1,2022
RA-417,"10,0","10,0","7,5","6,0","10,0",-1,2022
RA-418,"8,0","9,4","7,5","6,5","8,5",0,2022
RA-419,"7,5","9,2","5,6","5,3","8,5",-1,2022
RA-420,"9,5","9,0","5,6","1,3","7,7",0,2022
RA-421,"8,5","9,3","7,5","9,2","8,5",0,2022
RA-422,"8,5","10,0","7,5","1,0","4,0",-1,2022
RA-423,"8,4","9,6","7,5","0,5","4,0",-1,2022
RA-424,"9,0","10,0","7,5","10,0","5,0",-1,2022
RA-425,"9,0","10,0","7,5","9,0","9,0",-1,2022
RA-426,"9,0","6,5","7,5","2,3","6,8",-2,2022
RA-427,"8,0","8,5","7,5","3,0","2,0",-1,2022
RA-428,"6,8","8,7","7,5","10,0","9,0",-1,2022
RA-429,"10,0","5,3","7,5","2,8","2,5",-1,2022
RA-430,"9,5","8,6","7,5","7,5","9,5",-1,2022
RA-431,"9,0","8,1","7,5","5,0","4,0",0,2022
RA-432,"10,0","6,8","5,0","5,7","4,5",-2,2022
RA-433,"8,5","7,3","5,0","2,2","3,0",-1,2022
RA-434,"9,0","8,1","7,5","4,8","6,5",0,2022
RA-435,"7,9","6,2","7,5","3,7","5,7",0,2022
RA-436,"9,5","8,1","7,5","4,0","0,0",0,2022
RA-437,"8,5","8,3","7,5","6,0","5,5",-1,2022
